Host_code	Host_community	GPS_localisation	Locality	Country	Ecosystem	Collection_date	Sequencing_plate	Additional_information	Biomass	Grid_code	Vegetation	Litter	Soil	Rocks
19_AFS_010200	"Plant1_1;Plant2_1;Plant3_1;Plant4_1;Plant5_1;Plant6_1;Plant7_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_B12		3.73	19_AFS_01				
19_AFS_010300	"Plant1_1;Plant4_1;Plant5_1;Plant7_1;Plant8_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_C12		4.91	19_AFS_01				
19_AFS_010400	"Plant1_1;Plant2_1;Plant3_1;Plant4_1;Plant5_1;Plant6_1;Plant7_1;Plant8_1;Plant9_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_D12		9.11	19_AFS_01				
19_AFS_010500	"Plant1_1;Plant2_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_E12		8.66	19_AFS_01				
19_AFS_010600	"Plant1_1;Plant2_1;Plant3_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_F12		9.7	19_AFS_01				
19_AFS_010700	"Plant1_1;Plant2_1;Plant3_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_G12		20.33	19_AFS_01				
19_AFS_010800	"Plant1_1;Plant2_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_H12		4.22	19_AFS_01				
19_AFS_020100	"Plant1_1;Plant2_1;Plant3_1;Plant4_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_A11		7.49	19_AFS_02				
19_AFS_020200	"Plant1_1;Plant2_1;Plant3_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_C11		6.81	19_AFS_02				
19_AFS_020300	"Plant1_1;Plant2_1;Plant3_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_D11		4.38	19_AFS_02				
19_AFS_020400	"Plant1_1;Plant2_1;Plant3_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_E11		9.57	19_AFS_02				
19_AFS_020500	"Plant1_1;Plant4_1;Plant910_1;Plant16_1;Plant17_1;Plant19_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_F11		3.89	19_AFS_02				
19_AFS_020600	"Plant1_1;Plant4_1;Plant910_1;Plant17_1;Plant18_1;Plant19_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_G11		4.89	19_AFS_02				
19_AFS_020700	"Plant1_1;Plant4_1;Plant910_1;Plant11_1;Plant12_1;Plant13_1;Plant17_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_H11		9.81	19_AFS_02				
19_AFS_020800	"Plant1_1;Plant4_1;Plant7_1;Plant8_1;Plant910_1;Plant14_1;Plant15_1;Plant16_1;Plant17_1"	-34.27356944,18.45128611	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_A10		7.9	19_AFS_02				
19_AFS_030100	"Plant20A_1;Plant20B_1;Plant21A_1"	-34.27308056,18.45039444	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_B10		4.73	19_AFS_03				
19_AFS_030200	"Plant20A_1;Plant20B_1;Plant21A_1;Plant23_1;Plant910_1;Plant25_1;Plant26_1"	-34.27308056,18.45039444	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_C10		4.36	19_AFS_03				
19_AFS_030300	"Plant20A_1;Plant20B_1;Plant21A_1;Plant21B_1;Plant27_1"	-34.27308056,18.45039444	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_D10		3.25	19_AFS_03				
19_AFS_030400	"Plant20A_1;Plant20B_1;Plant21A_1;Plant21B_1;Plant27_1"	-34.27308056,18.45039444	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_E10		2.56	19_AFS_03				
